模式,方向,code,名称,竞王,低吸,连板接力,红盘,当日,focus,方向排名,方向大类,大类排名,codeName,trade,tradeTimestamp,pctChangeRate,openPctChangeRate,entityPctChangeRate,ylimitupdays,limitupdays,jsjl,xcjw,jssb,cjs,dwcjs,lastDayLimitUpTime,firstLimitUpDays,isGestationLine,isBrokenPlate,isSmallHighOpen,isWeak,isLongShadow,isUpBroken,isFirstUpBroken,isDownBroken,isFirstDownBroken,isHalf,isBottom,isPreSt,isMedium,blockCodeList,industryBlockCodeList,blockCategoryCodeList,ybreakLimitUpDays
接力低弱转1,0,002542.XSHE,中化岩土,269.01,0.0,20.9,0.0,7.84,True,-1,1,0,中化岩土,2.89,,9.8859,1.9,7.84,1,2,20.9,269.01,0.0,0.0,0.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"['885692.DDBK', '886021.DDBK', '885398.DDBK', '885750.DDBK', '885690.DDBK', '885500.DDBK', '886067.DDBK', '885456.DDBK', '885756.DDBK', '885887.DDBK', '885694.DDBK', '885362.DDBK', '885991.DDBK', '885418.DDBK', '885494.DDBK', '885744.DDBK']",['980338.ZHBK'],"['000012.BKDL', '000003.BKDL', '000008.BKDL', '000038.BKDL', '000018.BKDL', '000011.BKDL', '000015.BKDL', '000027.BKDL', '000031.BKDL', '000007.BKDL', '000004.BKDL', '000017.BKDL']",0
接力低弱转2,0,002542.XSHE,中化岩土,269.01,0.0,20.9,0.0,7.84,True,-1,1,0,中化岩土,2.89,,9.8859,1.9,7.84,1,2,20.9,269.01,0.0,0.0,0.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"['885692.DDBK', '886021.DDBK', '885398.DDBK', '885750.DDBK', '885690.DDBK', '885500.DDBK', '886067.DDBK', '885456.DDBK', '885756.DDBK', '885887.DDBK', '885694.DDBK', '885362.DDBK', '885991.DDBK', '885418.DDBK', '885494.DDBK', '885744.DDBK']",['980338.ZHBK'],"['000012.BKDL', '000003.BKDL', '000008.BKDL', '000038.BKDL', '000018.BKDL', '000011.BKDL', '000015.BKDL', '000027.BKDL', '000031.BKDL', '000007.BKDL', '000004.BKDL', '000017.BKDL']",0
接力低弱转2,0,000695.XSHE,滨海能源,200.79,0.0,10.07,0.0,3.38,False,-1,0,-1,滨海能源,10.69,,4.7013,1.27,3.38,1,0,10.07,200.79,0.0,0.0,0.0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"['885710.DDBK', '885587.DDBK', '885531.DDBK']","['980474.ZHBK', '980373.ZHBK']","['000035.BKDL', '000023.BKDL']",0
绿断低吸,0,002086.XSHE,东方海洋,249.31,70.42,0.0,0.0,6.09,True,-1,1,1,东方海洋,2.44,,6.087,0.0,6.09,0,0,0.0,249.31,0.0,70.42,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"['885490.DDBK', '885951.DDBK', '885502.DDBK', '885917.DDBK', '885699.DDBK', '885578.DDBK', '885406.DDBK', '885952.DDBK', '886022.DDBK', '885703.DDBK']","['980378.ZHBK', '980371.ZHBK']","['000010.BKDL', '000006.BKDL', '000028.BKDL', '000009.BKDL']",2
孕线低吸,0,300520.XSHE,科大国创,239.61,101.66,0.0,0.0,1.14,True,-1,3,0,科大国创,20.36,,-2.0683,-3.17,1.14,0,0,0.0,239.61,0.0,101.66,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['885459.DDBK', '885861.DDBK', '885517.DDBK', '885700.DDBK', '885730.DDBK', '885983.DDBK', '885556.DDBK', '885956.DDBK', '885694.DDBK', '885710.DDBK', '885806.DDBK', '885378.DDBK', '886040.DDBK', '885921.DDBK', '886013.DDBK', '885728.DDBK', '885736.DDBK', '885997.DDBK', '885452.DDBK', '885757.DDBK', '885957.DDBK', '885999.DDBK', '886019.DDBK', '885790.DDBK', '886041.DDBK', '885887.DDBK', '885842.DDBK', '885770.DDBK', '885431.DDBK', '885765.DDBK', '885820.DDBK', '886076.DDBK', '885568.DDBK', '886031.DDBK', '885976.DDBK']","['980753.ZHBK', '980366.ZHBK']","['000012.BKDL', '000018.BKDL', '000016.BKDL', '000034.BKDL', '000013.BKDL', '000003.BKDL', '000038.BKDL', '000035.BKDL', '000006.BKDL', '000027.BKDL', '000031.BKDL', '000009.BKDL', '000033.BKDL', '000025.BKDL']",0
孕线低吸,0,603312.XSHG,西典新能,229.32,105.0,0.0,0.0,0.85,True,-1,1,0,西典新能,34.35,,0.6446,-0.21,0.85,0,0,0.0,229.32,0.0,105.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['885641.DDBK', '885598.DDBK', '885710.DDBK', '885562.DDBK', '885905.DDBK', '885789.DDBK', '885431.DDBK', '885531.DDBK', '885997.DDBK']",['980474.ZHBK'],"['000035.BKDL', '000018.BKDL', '000027.BKDL', '000032.BKDL']",0
绿断低吸,0,300063.XSHE,天龙集团,228.64,226.68,0.0,0.0,26.67,True,-1,2,0,天龙集团,11.4,,20.0,-5.26,26.67,0,1,0.0,228.64,0.0,226.68,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"['885788.DDBK', '885918.DDBK', '885890.DDBK', '886019.DDBK', '885611.DDBK', '885420.DDBK', '885586.DDBK', '885806.DDBK', '885779.DDBK', '885787.DDBK', '886061.DDBK', '885418.DDBK', '885876.DDBK', '885728.DDBK', '885797.DDBK']","['980353.ZHBK', '980355.ZHBK']","['000012.BKDL', '000026.BKDL', '000023.BKDL', '000010.BKDL', '000006.BKDL', '000027.BKDL', '000034.BKDL']",2
红断低吸,0,300489.XSHE,光智科技,219.14,124.18,0.0,0.0,-1.36,True,-1,1,0,光智科技,103.57,,-1.3619,0.0,-1.36,0,0,0.0,219.14,0.0,124.18,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"['885571.DDBK', '885908.DDBK', '886009.DDBK', '886052.DDBK', '885700.DDBK', '885564.DDBK', '886067.DDBK', '885756.DDBK', '885823.DDBK', '885431.DDBK', '885849.DDBK', '885965.DDBK', '885736.DDBK', '885544.DDBK']","['980365.ZHBK', '980357.ZHBK']","['000036.BKDL', '000026.BKDL', '000035.BKDL', '000011.BKDL', '000031.BKDL', '000027.BKDL', '000004.BKDL', '000013.BKDL']",8
孕线低吸,0,300046.XSHE,台基股份,200.71,158.05,0.0,0.0,-1.32,True,-1,1,0,台基股份,48.77,,-7.3518,-6.12,-1.32,0,0,0.0,200.71,0.0,158.05,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"['885908.DDBK', '885929.DDBK', '885675.DDBK', '885948.DDBK', '885756.DDBK']",['980357.ZHBK'],"['000035.BKDL', '000031.BKDL', '000033.BKDL', '000029.BKDL']",0
绿断低吸,0,002676.XSHE,顺威股份,199.65,72.93,0.0,0.0,10.04,False,-1,0,-1,顺威股份,5.92,,10.0372,0.0,10.04,0,1,0.0,199.65,0.0,72.93,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,2
