buyDate,sellDate,code,name,mode,buyOpen,sellClose,returnPct,xcjw,cjs,pctChange,openPctChange,direction,directionRank,categoryRank,reason
2026-03-09,2026-03-10,002667.XSHE,威领股份,接力低弱转2,27.6,30.01,8.731884057971007,176.83,0.0,1.45,3.41,True,-1,0,高开弱转强 + 昨日连板 + 竞王达标
2026-03-10,2026-03-11,001339.XSHE,智微智能,接力低弱转1,77.0,75.54,-1.8961038961038845,260.63,0.0,1.17,5.54,True,-1,0,弱转强 + 昨日连板 + 竞王达标
2026-03-10,2026-03-11,001339.XSHE,智微智能,接力低弱转2,77.0,75.54,-1.8961038961038845,260.63,0.0,1.17,5.54,True,-1,0,高开弱转强 + 昨日连板 + 竞王达标
2026-03-10,2026-03-11,600354.XSHG,敦煌种业,首红断低吸,7.78,7.66,-1.5424164524421635,281.59,18.97,-1.16,-0.77,False,-1,-1,首红断 + 低吸有分 + 竞王达标
2026-03-18,2026-03-19,301226.XSHE,祥明智能,接力低弱转2,43.03,37.75,-12.270508947246107,190.88,0.0,-7.27,3.09,True,-1,0,高开弱转强 + 昨日连板 + 竞王达标
2026-03-19,2026-03-20,002432.XSHE,九安医疗,接力低弱转2,62.27,62.36,0.14453187730849582,181.15,0.0,5.91,3.87,True,-1,0,高开弱转强 + 昨日连板 + 竞王达标
2026-03-19,2026-03-20,300571.XSHE,平治信息,接力低弱转2,36.01,32.89,-8.664259927797824,214.97,0.0,-2.8,2.19,False,-1,-1,高开弱转强 + 昨日连板 + 竞王达标
2026-03-24,2026-03-25,002565.XSHE,顺灏股份,接力低弱转2,17.31,16.22,-6.2969381860196405,273.7,0.0,-2.31,1.94,False,-1,-1,高开弱转强 + 昨日连板 + 竞王达标
2026-03-24,2026-03-25,300345.XSHE,华民股份,接力低弱转1,9.53,8.63,-9.44386149003147,236.4,0.0,-4.93,6.01,True,-1,0,弱转强 + 昨日连板 + 竞王达标
2026-03-24,2026-03-25,300345.XSHE,华民股份,接力低弱转2,9.53,8.63,-9.44386149003147,236.4,0.0,-4.93,6.01,True,-1,0,高开弱转强 + 昨日连板 + 竞王达标
2026-03-25,2026-03-26,002316.XSHE,亚联发展,接力低弱转1,5.39,5.46,1.2987012987013102,240.75,0.0,1.86,3.65,True,-1,0,弱转强 + 昨日连板 + 竞王达标
2026-03-25,2026-03-26,002316.XSHE,亚联发展,接力低弱转2,5.39,5.46,1.2987012987013102,240.75,0.0,1.86,3.65,True,-1,0,高开弱转强 + 昨日连板 + 竞王达标
2026-03-30,2026-03-31,603687.XSHG,大胜达,N字低吸,14.37,14.9,3.6882393876130903,338.77,210.82,12.18,-8.06,True,-1,0,强方向 + N字半位 + 低吸有分
2026-03-31,2026-04-01,603387.XSHG,基蛋生物,首红断低吸,10.15,10.63,4.72906403940887,152.97,2.34,-1.28,-0.59,True,-1,0,首红断 + 低吸有分 + 竞王达标
2026-04-02,2026-04-03,002788.XSHE,鹭燕医药,首红断低吸,16.08,17.67,9.888059701492558,133.11,22.15,5.97,-3.71,True,-1,0,首红断 + 低吸有分 + 竞王达标
2026-04-03,2026-04-07,002038.XSHE,双鹭药业,接力低弱转1,8.6,8.6,0.0,387.22,0.0,4.42,0.58,True,-1,0,弱转强 + 昨日连板 + 竞王达标
2026-04-03,2026-04-07,603222.XSHG,济民健康,接力低弱转1,10.24,11.27,10.05859375,487.12,0.0,2.25,0.89,False,-1,-1,弱转强 + 昨日连板 + 竞王达标
2026-04-08,2026-04-09,002840.XSHE,华统股份,接力低弱转2,13.2,12.98,-1.6666666666666607,219.75,0.0,-1.14,2.01,True,-1,2,高开弱转强 + 昨日连板 + 竞王达标
2026-04-14,2026-04-15,000988.XSHE,华工科技,孕线低吸,120.0,112.3,-6.4166666666666705,422.28,104.08,0.52,-4.12,True,-1,0,强方向 + 孕线 + 低吸分达标
2026-04-15,2026-04-16,000967.XSHE,盈峰环境,接力低弱转2,12.18,13.07,7.307060755336625,203.67,0.0,-2.46,4.19,True,-1,0,高开弱转强 + 昨日连板 + 竞王达标
2026-04-15,2026-04-16,002157.XSHE,正邦科技,接力低弱转2,3.54,3.42,-3.3898305084745783,213.67,0.0,-1.13,1.43,True,-1,0,高开弱转强 + 昨日连板 + 竞王达标
2026-04-15,2026-04-16,600654.XSHG,中安科,首红断低吸,4.5,4.68,4.0000000000000036,159.1,3.38,-2.0,-0.44,True,-1,0,首红断 + 低吸有分 + 竞王达标
2026-04-16,2026-04-17,000788.XSHE,北大医药,接力低弱转1,6.9,6.54,-5.21739130434783,343.6,0.0,-3.48,1.92,False,-1,-1,弱转强 + 昨日连板 + 竞王达标
2026-04-16,2026-04-17,000788.XSHE,北大医药,接力低弱转2,6.9,6.54,-5.21739130434783,343.6,0.0,-3.48,1.92,False,-1,-1,高开弱转强 + 昨日连板 + 竞王达标
2026-04-17,2026-04-20,603220.XSHG,中贝通信,接力低弱转2,32.56,30.88,-5.159705159705174,193.73,0.0,-0.98,1.97,True,-1,0,高开弱转强 + 昨日连板 + 竞王达标
2026-04-17,2026-04-20,300736.XSHE,百邦科技,接力低弱转1,24.74,27.35,10.549717057396935,322.06,0.0,-0.53,4.04,False,-1,-1,弱转强 + 昨日连板 + 竞王达标
2026-04-17,2026-04-20,300736.XSHE,百邦科技,接力低弱转2,24.74,27.35,10.549717057396935,322.06,0.0,-0.53,4.04,False,-1,-1,高开弱转强 + 昨日连板 + 竞王达标
2026-04-23,2026-04-24,001234.XSHE,泰慕士,接力低弱转1,29.82,35.77,19.9530516431925,511.16,0.0,9.05,0.88,False,-1,-1,弱转强 + 昨日连板 + 竞王达标
