buyDate,sellDate,code,name,mode,returnPct,xcjw,cjs,jsjl,openPctChange,reason
2026-03-04,2026-03-05,002843.XSHE,泰嘉股份,绿断低吸,-12.054035330793212,722.87,114.34,0.0,-0.41,绿断 + 低吸有分 + 竞王达标
2026-03-09,2026-03-10,002667.XSHE,威领股份,接力低弱转2,8.731884057971007,176.83,0.0,27.67,3.41,高开弱转强 + 昨日连板 + 竞王达标
2026-03-10,2026-03-11,001339.XSHE,智微智能,接力低弱转1,-1.8961038961038845,260.63,0.0,78.3,5.54,弱转强 + 昨日连板 + 竞王达标
2026-03-10,2026-03-11,001339.XSHE,智微智能,接力低弱转2,-1.8961038961038845,260.63,0.0,78.3,5.54,高开弱转强 + 昨日连板 + 竞王达标
2026-03-10,2026-03-11,002843.XSHE,泰嘉股份,首红断低吸,-0.30188679245282124,176.65,5.49,0.0,-0.6,首红断 + 低吸有分 + 竞王达标
2026-03-10,2026-03-11,600354.XSHG,敦煌种业,首红断低吸,-1.5424164524421635,281.59,18.97,0.0,-0.77,首红断 + 低吸有分 + 竞王达标
2026-03-18,2026-03-19,301226.XSHE,祥明智能,接力低弱转2,-12.270508947246107,190.88,0.0,45.83,3.09,高开弱转强 + 昨日连板 + 竞王达标
2026-03-19,2026-03-20,002432.XSHE,九安医疗,接力低弱转2,0.14453187730849582,181.15,0.0,27.69,3.87,高开弱转强 + 昨日连板 + 竞王达标
2026-03-19,2026-03-20,300571.XSHE,平治信息,接力低弱转2,-8.664259927797824,214.97,0.0,36.86,2.19,高开弱转强 + 昨日连板 + 竞王达标
2026-03-24,2026-03-25,002565.XSHE,顺灏股份,接力低弱转2,-6.2969381860196405,273.7,0.0,42.99,1.94,高开弱转强 + 昨日连板 + 竞王达标
2026-03-24,2026-03-25,300345.XSHE,华民股份,接力低弱转1,-9.44386149003147,236.4,0.0,238.11,6.01,弱转强 + 昨日连板 + 竞王达标
2026-03-24,2026-03-25,300345.XSHE,华民股份,接力低弱转2,-9.44386149003147,236.4,0.0,238.11,6.01,高开弱转强 + 昨日连板 + 竞王达标
2026-03-25,2026-03-26,002316.XSHE,亚联发展,接力低弱转1,1.2987012987013102,240.75,0.0,45.35,3.65,弱转强 + 昨日连板 + 竞王达标
2026-03-25,2026-03-26,002316.XSHE,亚联发展,接力低弱转2,1.2987012987013102,240.75,0.0,45.35,3.65,高开弱转强 + 昨日连板 + 竞王达标
2026-03-30,2026-03-31,603687.XSHG,大胜达,N字低吸,3.6882393876130903,338.77,210.82,0.0,-8.06,强方向 + N字半位 + 低吸有分
2026-03-31,2026-04-01,603387.XSHG,基蛋生物,首红断低吸,4.72906403940887,152.97,2.34,0.0,-0.59,首红断 + 低吸有分 + 竞王达标
2026-04-02,2026-04-03,002788.XSHE,鹭燕医药,首红断低吸,9.888059701492558,133.11,22.15,0.0,-3.71,首红断 + 低吸有分 + 竞王达标
2026-04-03,2026-04-07,002038.XSHE,双鹭药业,接力低弱转1,0.0,387.22,0.0,14.97,0.58,弱转强 + 昨日连板 + 竞王达标
2026-04-03,2026-04-07,603222.XSHG,济民健康,接力低弱转1,10.05859375,487.12,0.0,17.13,0.89,弱转强 + 昨日连板 + 竞王达标
2026-04-08,2026-04-09,002840.XSHE,华统股份,接力低弱转2,-1.6666666666666607,219.75,0.0,17.45,2.01,高开弱转强 + 昨日连板 + 竞王达标
2026-04-14,2026-04-15,000988.XSHE,华工科技,孕线低吸,-6.4166666666666705,422.28,104.08,0.0,-4.12,强方向 + 孕线 + 低吸分达标
2026-04-15,2026-04-16,000967.XSHE,盈峰环境,接力低弱转2,7.307060755336625,203.67,0.0,33.71,4.19,高开弱转强 + 昨日连板 + 竞王达标
2026-04-15,2026-04-16,002157.XSHE,正邦科技,接力低弱转2,-3.3898305084745783,213.67,0.0,12.08,1.43,高开弱转强 + 昨日连板 + 竞王达标
2026-04-15,2026-04-16,600654.XSHG,中安科,首红断低吸,4.0000000000000036,159.1,3.38,0.0,-0.44,首红断 + 低吸有分 + 竞王达标
2026-04-16,2026-04-17,000788.XSHE,北大医药,接力低弱转1,-5.21739130434783,343.6,0.0,38.88,1.92,弱转强 + 昨日连板 + 竞王达标
2026-04-16,2026-04-17,000788.XSHE,北大医药,接力低弱转2,-5.21739130434783,343.6,0.0,38.88,1.92,高开弱转强 + 昨日连板 + 竞王达标
2026-04-17,2026-04-20,300736.XSHE,百邦科技,接力低弱转1,10.549717057396935,322.06,0.0,105.61,4.04,弱转强 + 昨日连板 + 竞王达标
2026-04-17,2026-04-20,300736.XSHE,百邦科技,接力低弱转2,10.549717057396935,322.06,0.0,105.61,4.04,高开弱转强 + 昨日连板 + 竞王达标
2026-04-17,2026-04-20,603220.XSHG,中贝通信,接力低弱转2,-5.159705159705174,193.73,0.0,23.7,1.97,高开弱转强 + 昨日连板 + 竞王达标
2026-04-23,2026-04-24,001234.XSHE,泰慕士,接力低弱转1,19.9530516431925,511.16,0.0,17.78,0.88,弱转强 + 昨日连板 + 竞王达标
