date,categoryCode,score,scoreChangePre,scoreChange,dataType,isTrack,isPpp,blockDynamicIndexList
2024-10-25,000022.BKDL,578.38,474.71,0.0,1,1,0,[]
2024-10-25,000007.BKDL,557.41,387.81,18.97,1,1,0,[]
2024-10-25,000036.BKDL,556.62,435.79,7.92,1,0,0,[]
2024-10-25,000035.BKDL,545.97,414.03,5.91,1,1,0,[]
2024-10-25,000011.BKDL,538.7,400.46,5.86,1,1,0,[]
2024-10-25,000024.BKDL,537.05,400.02,6.63,1,1,0,[]
2024-10-25,000004.BKDL,521.7,359.82,12.92,1,1,0,[]
2024-10-25,000001.BKDL,521.36,394.02,9.61,1,1,0,[]
2024-10-25,000010.BKDL,513.08,343.11,14.64,1,1,0,[]
2024-10-25,000033.BKDL,500.25,361.24,7.29,1,0,0,[]
2024-10-25,000012.BKDL,494.39,331.3,7.7,1,0,0,[]
2024-10-25,000027.BKDL,494.16,357.93,8.46,1,0,0,[]
2024-10-25,000009.BKDL,491.82,302.44,7.77,1,1,0,[]
2024-10-25,000026.BKDL,491.7,329.31,10.89,1,1,0,[]
2024-10-25,000019.BKDL,488.5,337.35,15.33,1,0,0,[]
2024-10-25,000032.BKDL,486.49,348.72,8.61,1,0,0,[]
2024-10-25,000003.BKDL,480.17,320.39,7.49,1,0,0,[]
2024-10-25,000015.BKDL,479.69,314.71,12.4,1,1,0,[]
2024-10-25,000008.BKDL,479.21,327.65,7.21,1,1,0,[]
2024-10-25,000021.BKDL,477.44,271.19,15.28,1,1,0,[]
2024-10-25,000018.BKDL,476.37,354.44,5.67,1,1,0,[]
2024-10-25,000006.BKDL,474.45,331.98,5.97,1,0,0,[]
2024-10-25,000038.BKDL,468.64,358.65,7.57,1,1,0,[]
2024-10-25,000031.BKDL,465.77,293.56,5.08,1,0,0,[]
2024-10-25,000017.BKDL,464.91,317.93,10.42,1,1,0,[]
2024-10-25,000029.BKDL,464.34,286.29,10.48,1,0,0,[]
2024-10-25,000016.BKDL,460.71,303.84,4.94,1,0,0,[]
2024-10-25,000034.BKDL,459.96,324.93,7.38,1,0,0,[]
2024-10-25,000023.BKDL,456.34,308.97,11.72,1,0,0,[]
2024-10-25,000025.BKDL,453.57,314.07,4.9,1,0,0,[]
2024-10-25,000037.BKDL,453.05,353.92,7.39,1,1,0,[]
2024-10-25,000013.BKDL,447.38,328.66,0.0,1,1,0,[]
2024-10-25,000014.BKDL,446.56,285.48,7.97,1,0,0,[]
2024-10-25,000005.BKDL,395.2,228.0,5.07,1,1,0,[]
2024-10-25,000028.BKDL,362.75,-46.31,7.72,1,1,0,[]
2024-10-24,000028.BKDL,409.06,65.6,3.86,1,1,0,[]
2024-10-24,000021.BKDL,206.25,87.85,7.64,1,1,0,[]
2024-10-24,000009.BKDL,189.38,16.96,3.53,1,1,0,[]
2024-10-24,000029.BKDL,178.05,-0.0,2.32,1,0,0,[]
2024-10-24,000031.BKDL,172.21,-24.71,2.18,1,0,0,[]
2024-10-24,000010.BKDL,169.97,-16.55,5.1,1,1,0,[]
2024-10-24,000007.BKDL,169.6,-42.69,4.75,1,1,0,[]
2024-10-24,000005.BKDL,167.2,-101.33,5.07,1,1,0,[]
2024-10-24,000015.BKDL,164.98,-27.66,4.77,1,1,0,[]
2024-10-24,000012.BKDL,163.09,1.93,3.21,1,0,0,[]
2024-10-24,000026.BKDL,162.39,-17.23,3.63,1,1,0,[]
2024-10-24,000004.BKDL,161.88,-59.86,2.72,1,1,0,[]
2024-10-24,000014.BKDL,161.08,9.57,6.38,1,0,0,[]
2024-10-24,000003.BKDL,159.78,-25.8,3.33,1,0,0,[]
2024-10-24,000016.BKDL,156.87,-46.93,3.71,1,0,0,[]
2024-10-24,000008.BKDL,151.56,-82.27,10.11,1,1,0,[]
2024-10-24,000019.BKDL,151.15,-41.62,2.19,1,0,0,[]
2024-10-24,000023.BKDL,147.37,-60.29,5.44,1,0,0,[]
2024-10-24,000017.BKDL,146.98,-112.58,5.21,1,1,0,[]
2024-10-24,000006.BKDL,142.47,-36.44,1.33,1,0,0,[]
2024-10-24,000025.BKDL,139.5,-64.44,0.82,1,0,0,[]
2024-10-24,000033.BKDL,139.01,-79.37,2.58,1,0,0,[]
2024-10-24,000011.BKDL,138.24,-123.15,2.52,1,1,0,[]
2024-10-24,000032.BKDL,137.77,-38.74,2.16,1,0,0,[]
2024-10-24,000024.BKDL,137.03,-92.82,6.63,1,1,0,[]
2024-10-24,000027.BKDL,136.23,-106.84,3.56,1,0,0,[]
2024-10-24,000034.BKDL,135.03,-36.93,2.11,1,0,0,[]
2024-10-24,000035.BKDL,131.94,-151.97,4.09,1,1,0,[]
2024-10-24,000001.BKDL,127.34,-134.54,7.21,1,1,0,[]
2024-10-24,000018.BKDL,121.93,-130.43,3.78,1,1,0,[]
2024-10-24,000036.BKDL,120.83,-154.51,0.0,1,0,0,[]
2024-10-24,000013.BKDL,118.72,-239.93,0.0,1,1,0,[]
2024-10-24,000038.BKDL,109.99,-119.15,2.39,1,1,0,[]
2024-10-24,000022.BKDL,103.67,-190.98,2.73,1,1,0,[]
2024-10-24,000037.BKDL,99.13,-149.14,3.04,1,1,0,[]
2024-10-23,000013.BKDL,358.65,64.98,4.99,1,1,0,[]
2024-10-23,000028.BKDL,343.46,-84.9,11.58,1,1,0,[]
2024-10-23,000022.BKDL,294.65,-117.31,16.37,1,1,0,[]
2024-10-23,000035.BKDL,283.91,-140.13,5.46,1,1,0,[]
2024-10-23,000036.BKDL,275.34,-136.68,5.94,1,0,0,[]
2024-10-23,000005.BKDL,268.53,-177.34,10.13,1,1,0,[]
2024-10-23,000001.BKDL,261.88,-158.57,14.41,1,1,0,[]
2024-10-23,000011.BKDL,261.39,-155.83,9.21,1,1,0,[]
2024-10-23,000017.BKDL,259.56,-129.78,9.38,1,1,0,[]
2024-10-23,000018.BKDL,252.36,-138.0,2.83,1,1,0,[]
2024-10-23,000037.BKDL,248.27,-109.13,8.7,1,1,0,[]
2024-10-23,000027.BKDL,243.07,-103.73,9.35,1,0,0,[]
2024-10-23,000008.BKDL,233.83,-88.05,7.21,1,1,0,[]
2024-10-23,000024.BKDL,229.85,-276.26,11.05,1,1,0,[]
2024-10-23,000038.BKDL,229.14,-174.54,6.78,1,1,0,[]
2024-10-23,000004.BKDL,221.74,-193.85,5.44,1,1,0,[]
2024-10-23,000033.BKDL,218.38,-113.69,5.58,1,0,0,[]
2024-10-23,000007.BKDL,212.29,-190.95,7.11,1,1,0,[]
2024-10-23,000023.BKDL,207.66,-195.09,5.45,1,0,0,[]
2024-10-23,000025.BKDL,203.94,-61.19,6.52,1,0,0,[]
2024-10-23,000016.BKDL,203.8,2.47,8.65,1,0,0,[]
2024-10-23,000031.BKDL,196.92,-18.89,4.36,1,0,0,[]
2024-10-23,000019.BKDL,192.77,-223.44,8.76,1,0,0,[]
2024-10-23,000015.BKDL,192.64,-184.05,8.59,1,1,0,[]
2024-10-23,000010.BKDL,186.52,-294.1,9.55,1,1,0,[]
2024-10-23,000003.BKDL,185.58,-83.21,5.83,1,0,0,[]
2024-10-23,000026.BKDL,179.62,-218.63,3.63,1,1,0,[]
2024-10-23,000006.BKDL,178.91,-115.3,3.97,1,0,0,[]
2024-10-23,000029.BKDL,178.05,-72.16,6.98,1,0,0,[]
2024-10-23,000032.BKDL,176.51,-94.72,2.15,1,0,0,[]
2024-10-23,000009.BKDL,172.42,-261.46,10.6,1,1,0,[]
2024-10-23,000034.BKDL,171.96,-78.06,3.17,1,0,0,[]
2024-10-23,000012.BKDL,161.16,-195.19,3.85,1,0,0,[]
2024-10-23,000014.BKDL,151.51,-97.29,7.97,1,0,0,[]
2024-10-23,000021.BKDL,118.4,-404.87,7.63,1,1,0,[]
2024-10-22,000021.BKDL,523.27,225.35,7.64,1,1,0,[]
2024-10-22,000024.BKDL,506.11,207.75,15.47,1,1,0,[]
2024-10-22,000010.BKDL,480.62,145.14,14.01,1,1,0,[]
2024-10-22,000005.BKDL,445.87,217.87,15.2,1,1,0,[]
2024-10-22,000009.BKDL,433.88,54.41,12.72,1,1,0,[]
2024-10-22,000028.BKDL,428.36,216.11,15.44,1,1,0,[]
2024-10-22,000035.BKDL,424.04,12.74,12.28,1,1,0,[]
2024-10-22,000001.BKDL,420.45,28.83,16.82,1,1,0,[]
2024-10-22,000011.BKDL,417.22,56.97,14.24,1,1,0,[]
2024-10-22,000019.BKDL,416.21,39.43,4.38,1,0,0,[]
2024-10-22,000004.BKDL,415.59,61.21,19.72,1,1,0,[]
2024-10-22,000036.BKDL,412.02,-41.59,7.93,1,0,0,[]
2024-10-22,000022.BKDL,411.96,38.2,19.1,1,1,0,[]
2024-10-22,000038.BKDL,403.68,11.55,7.17,1,1,0,[]
2024-10-22,000007.BKDL,403.24,99.63,10.68,1,1,0,[]
2024-10-22,000023.BKDL,402.75,68.66,10.46,1,0,0,[]
2024-10-22,000026.BKDL,398.25,9.07,9.97,1,1,0,[]
2024-10-22,000018.BKDL,390.36,19.85,12.29,1,1,0,[]
2024-10-22,000017.BKDL,389.34,63.59,14.07,1,1,0,[]
2024-10-22,000015.BKDL,376.69,63.89,10.49,1,1,0,[]
2024-10-22,000037.BKDL,357.4,30.0,12.17,1,1,0,[]
2024-10-22,000012.BKDL,356.35,-103.37,7.06,1,0,0,[]
2024-10-22,000027.BKDL,346.8,-129.55,9.35,1,0,0,[]
2024-10-22,000033.BKDL,332.07,-157.88,9.01,1,0,0,[]
2024-10-22,000008.BKDL,321.88,-43.3,14.43,1,1,0,[]
2024-10-22,000006.BKDL,294.21,-210.05,5.96,1,0,0,[]
2024-10-22,000013.BKDL,293.67,-243.69,5.0,1,1,0,[]
2024-10-22,000032.BKDL,271.23,-236.78,10.77,1,0,0,[]
2024-10-22,000003.BKDL,268.79,-241.34,5.82,1,0,0,[]
2024-10-22,000025.BKDL,265.13,-279.81,8.98,1,0,0,[]
2024-10-22,000029.BKDL,250.21,-294.43,10.48,1,0,0,[]
2024-10-22,000034.BKDL,250.02,-330.21,5.27,1,0,0,[]
2024-10-22,000014.BKDL,248.8,-296.64,4.79,1,0,0,[]
2024-10-22,000031.BKDL,215.81,-356.78,7.27,1,0,0,[]
2024-10-22,000016.BKDL,201.33,-368.08,4.94,1,0,0,[]
2024-10-21,000034.BKDL,580.23,-86.5,2.11,1,0,0,[]
2024-10-21,000031.BKDL,572.59,-120.62,2.18,1,0,0,[]
2024-10-21,000016.BKDL,569.41,-85.22,2.47,1,0,0,[]
2024-10-21,000014.BKDL,545.44,-149.92,4.78,1,0,0,[]
2024-10-21,000025.BKDL,544.94,-141.12,6.53,1,0,0,[]
2024-10-21,000029.BKDL,544.64,-158.27,9.31,1,0,0,[]
2024-10-21,000013.BKDL,537.36,-146.21,6.25,1,1,0,[]
2024-10-21,000003.BKDL,510.13,-125.65,4.17,1,0,0,[]
2024-10-21,000032.BKDL,508.01,-204.5,6.45,1,0,0,[]
2024-10-21,000006.BKDL,504.26,-168.98,5.3,1,0,0,[]
2024-10-21,000033.BKDL,489.95,-207.23,7.29,1,0,0,[]
2024-10-21,000027.BKDL,476.35,-207.46,6.68,1,0,0,[]
2024-10-21,000012.BKDL,459.72,-165.01,3.21,1,0,0,[]
2024-10-21,000036.BKDL,453.61,-231.76,13.86,1,0,0,[]
2024-10-21,000035.BKDL,411.3,-242.96,5.91,1,1,0,[]
2024-10-21,000038.BKDL,392.13,-268.59,3.59,1,1,0,[]
2024-10-21,000001.BKDL,391.62,-237.86,2.4,1,1,0,[]
2024-10-21,000026.BKDL,389.18,-289.4,5.44,1,1,0,[]
2024-10-21,000009.BKDL,379.47,-281.95,5.66,1,1,0,[]
2024-10-21,000019.BKDL,376.78,-251.92,6.57,1,0,0,[]
2024-10-21,000022.BKDL,373.76,-275.55,5.45,1,1,0,[]
2024-10-21,000018.BKDL,370.51,-259.92,8.51,1,1,0,[]
2024-10-21,000008.BKDL,365.18,-249.71,5.77,1,1,0,[]
2024-10-21,000011.BKDL,360.25,-263.07,6.7,1,1,0,[]
2024-10-21,000004.BKDL,354.38,-257.1,7.49,1,1,0,[]
2024-10-21,000010.BKDL,335.48,-280.09,4.46,1,1,0,[]
2024-10-21,000023.BKDL,334.09,-281.34,6.7,1,0,0,[]
2024-10-21,000037.BKDL,327.4,-329.14,7.83,1,1,0,[]
2024-10-21,000017.BKDL,325.75,-272.59,6.77,1,1,0,[]
2024-10-21,000015.BKDL,312.8,-295.63,6.68,1,1,0,[]
2024-10-21,000007.BKDL,303.61,-271.59,5.93,1,1,0,[]
2024-10-21,000024.BKDL,298.36,-298.36,4.42,1,1,0,[]
2024-10-21,000021.BKDL,297.92,-317.02,0.0,1,1,0,[]
2024-10-21,000005.BKDL,228.0,-349.6,5.07,1,1,0,[]
2024-10-21,000028.BKDL,212.25,-135.07,0.0,1,1,0,[]
2024-10-18,000032.BKDL,712.51,540.3,0.0,1,0,0,[]
2024-10-18,000029.BKDL,702.91,430.59,2.33,1,0,0,[]
2024-10-18,000033.BKDL,697.18,519.13,5.15,1,0,0,[]
2024-10-18,000014.BKDL,695.36,395.53,4.79,1,0,0,[]
2024-10-18,000031.BKDL,693.21,417.09,0.73,1,0,0,[]
2024-10-18,000025.BKDL,686.06,425.83,0.81,1,0,0,[]
2024-10-18,000036.BKDL,685.37,566.52,5.94,1,0,0,[]
2024-10-18,000027.BKDL,683.81,488.82,4.9,1,0,0,[]
2024-10-18,000013.BKDL,683.57,463.63,5.0,1,1,0,[]
2024-10-18,000026.BKDL,678.58,505.31,11.8,1,1,0,[]
2024-10-18,000006.BKDL,673.24,392.95,3.98,1,0,0,[]
2024-10-18,000034.BKDL,666.73,385.06,3.16,1,0,0,[]
2024-10-18,000009.BKDL,661.42,538.46,7.07,1,1,0,[]
2024-10-18,000038.BKDL,660.72,520.85,5.18,1,1,0,[]
2024-10-18,000037.BKDL,656.54,553.06,8.26,1,1,0,[]
2024-10-18,000016.BKDL,654.63,365.6,0.0,1,0,0,[]
2024-10-18,000035.BKDL,654.26,524.59,6.37,1,1,0,[]
2024-10-18,000022.BKDL,649.31,572.92,8.18,1,1,0,[]
2024-10-18,000003.BKDL,635.78,383.63,4.16,1,0,0,[]
2024-10-18,000018.BKDL,630.43,510.39,5.67,1,1,0,[]
2024-10-18,000001.BKDL,629.48,557.4,12.02,1,1,0,[]
2024-10-18,000019.BKDL,628.7,512.6,6.57,1,0,0,[]
2024-10-18,000012.BKDL,624.73,415.42,8.34,1,0,0,[]
2024-10-18,000011.BKDL,623.32,513.57,10.89,1,1,0,[]
2024-10-18,000010.BKDL,615.57,492.71,10.18,1,1,0,[]
2024-10-18,000023.BKDL,615.43,500.3,6.28,1,0,0,[]
2024-10-18,000021.BKDL,614.94,500.36,11.46,1,1,0,[]
2024-10-18,000008.BKDL,614.89,463.33,8.66,1,1,0,[]
2024-10-18,000004.BKDL,611.48,480.2,5.44,1,1,0,[]
2024-10-18,000015.BKDL,608.43,487.32,3.82,1,1,0,[]
2024-10-18,000017.BKDL,598.34,502.44,9.9,1,1,0,[]
2024-10-18,000024.BKDL,596.72,528.21,13.26,1,1,0,[]
2024-10-18,000005.BKDL,577.6,496.53,10.13,1,1,0,[]
2024-10-18,000007.BKDL,575.2,466.09,7.11,1,1,0,[]
2024-10-18,000028.BKDL,347.32,235.41,15.44,1,1,0,[]
2024-10-17,000014.BKDL,299.83,130.77,4.78,1,0,0,[]
2024-10-17,000016.BKDL,289.03,29.65,8.65,1,0,0,[]
2024-10-17,000034.BKDL,281.67,35.86,4.22,1,0,0,[]
2024-10-17,000006.BKDL,280.29,94.75,4.63,1,0,0,[]
2024-10-17,000031.BKDL,276.12,80.66,3.63,1,0,0,[]
2024-10-17,000029.BKDL,272.32,140.82,3.49,1,0,0,[]
2024-10-17,000025.BKDL,260.23,72.6,4.89,1,0,0,[]
2024-10-17,000003.BKDL,252.15,-4.16,6.66,1,0,0,[]
2024-10-17,000013.BKDL,219.94,31.24,8.75,1,1,0,[]
2024-10-17,000012.BKDL,209.31,-36.6,5.77,1,0,0,[]
2024-10-17,000027.BKDL,194.99,22.7,2.67,1,0,0,[]
2024-10-17,000033.BKDL,178.05,6.87,3.43,1,0,0,[]
2024-10-17,000026.BKDL,173.27,-9.98,4.53,1,1,0,[]
2024-10-17,000032.BKDL,172.21,40.9,6.46,1,0,0,[]
2024-10-17,000008.BKDL,151.56,-164.55,5.78,1,1,0,[]
2024-10-17,000038.BKDL,139.87,-51.41,2.79,1,1,0,[]
2024-10-17,000004.BKDL,131.28,-123.11,2.73,1,1,0,[]
2024-10-17,000035.BKDL,129.67,-71.43,2.73,1,1,0,[]
2024-10-17,000009.BKDL,122.96,-65.71,4.24,1,1,0,[]
2024-10-17,000010.BKDL,122.86,-94.85,4.46,1,1,0,[]
2024-10-17,000015.BKDL,121.11,-137.33,3.81,1,1,0,[]
2024-10-17,000018.BKDL,120.04,-127.6,5.67,1,1,0,[]
2024-10-17,000036.BKDL,118.85,-57.45,1.98,1,0,0,[]
2024-10-17,000019.BKDL,116.1,-96.39,10.95,1,0,0,[]
2024-10-17,000023.BKDL,115.13,-117.23,1.25,1,0,0,[]
2024-10-17,000021.BKDL,114.58,-34.38,3.81,1,1,0,[]
2024-10-17,000028.BKDL,111.91,-104.2,0.0,1,1,0,[]
2024-10-17,000011.BKDL,109.75,-151.64,4.19,1,1,0,[]
2024-10-17,000007.BKDL,109.11,-264.48,4.74,1,1,0,[]
2024-10-17,000037.BKDL,103.48,-90.87,1.3,1,1,0,[]
2024-10-17,000017.BKDL,95.9,-172.52,1.04,1,1,0,[]
2024-10-17,000005.BKDL,81.07,-197.6,0.0,1,1,0,[]
2024-10-17,000022.BKDL,76.39,-117.31,2.73,1,1,0,[]
2024-10-17,000001.BKDL,72.08,-175.39,2.41,1,1,0,[]
2024-10-17,000024.BKDL,68.51,-172.39,4.42,1,1,0,[]
2024-10-16,000007.BKDL,373.59,281.08,14.24,1,1,0,[]
2024-10-16,000008.BKDL,316.11,239.61,7.22,1,1,0,[]
2024-10-16,000005.BKDL,278.67,243.2,10.14,1,1,0,[]
2024-10-16,000017.BKDL,268.42,202.75,6.78,1,1,0,[]
2024-10-16,000011.BKDL,261.39,188.5,9.21,1,1,0,[]
2024-10-16,000016.BKDL,259.38,158.1,4.94,1,0,0,[]
2024-10-16,000015.BKDL,258.44,177.38,8.58,1,1,0,[]
2024-10-16,000003.BKDL,256.31,143.13,5.82,1,0,0,[]
2024-10-16,000004.BKDL,254.39,162.57,6.8,1,1,0,[]
2024-10-16,000018.BKDL,247.64,169.19,11.35,1,1,0,[]
2024-10-16,000001.BKDL,247.47,177.8,9.61,1,1,0,[]
2024-10-16,000012.BKDL,245.91,144.46,7.06,1,0,0,[]
2024-10-16,000034.BKDL,245.81,141.37,6.33,1,0,0,[]
2024-10-16,000024.BKDL,240.9,161.34,13.26,1,1,0,[]
2024-10-16,000023.BKDL,232.36,166.63,7.96,1,0,0,[]
2024-10-16,000010.BKDL,217.71,129.23,7.0,1,1,0,[]
2024-10-16,000028.BKDL,216.11,38.59,3.86,1,1,0,[]
2024-10-16,000019.BKDL,212.49,151.15,6.57,1,0,0,[]
2024-10-16,000035.BKDL,201.1,132.85,7.73,1,1,0,[]
2024-10-16,000031.BKDL,195.46,92.28,4.36,1,0,0,[]
2024-10-16,000037.BKDL,194.35,153.04,6.95,1,1,0,[]
2024-10-16,000022.BKDL,193.7,114.58,8.18,1,1,0,[]
2024-10-16,000038.BKDL,191.28,136.69,4.78,1,1,0,[]
2024-10-16,000013.BKDL,188.7,78.73,3.75,1,1,0,[]
2024-10-16,000009.BKDL,188.67,125.78,3.53,1,1,0,[]
2024-10-16,000025.BKDL,187.63,93.82,5.71,1,0,0,[]
2024-10-16,000006.BKDL,185.54,78.86,3.98,1,0,0,[]
2024-10-16,000026.BKDL,183.25,103.42,4.53,1,1,0,[]
2024-10-16,000036.BKDL,176.3,104.99,9.91,1,0,0,[]
2024-10-16,000027.BKDL,172.29,97.05,4.45,1,0,0,[]
2024-10-16,000033.BKDL,171.18,99.1,6.0,1,0,0,[]
2024-10-16,000014.BKDL,169.06,66.99,3.19,1,0,0,[]
2024-10-16,000021.BKDL,148.96,68.75,0.0,1,1,0,[]
2024-10-16,000029.BKDL,131.5,41.89,1.16,1,0,0,[]
2024-10-16,000032.BKDL,131.31,68.88,2.15,1,0,0,[]
