date,tradeDate,blockCode,dataType,industryType,num,directionNum,numChange,prePctChangeRate,isTrack,isPpp
2024-10-25,2024-10-25,980353.ZHBK,2,0,50.04,,20.02,0.13,0,0
2024-10-25,2024-10-25,980338.ZHBK,2,1,130.05,,90.01,0.24,0,0
2024-10-25,2024-10-25,980343.ZHBK,2,0,60.02,,50.01,-1.02,0,0
2024-10-25,2024-10-25,980358.ZHBK,2,1,50.03,,20.01,0.55,0,0
2024-10-25,2024-10-25,980357.ZHBK,2,0,170.06,,120.02,0.29,0,0
2024-10-25,2024-10-25,980366.ZHBK,2,0,120.06,,60.02,-0.79,0,0
2024-10-25,2024-10-25,980753.ZHBK,2,0,130.09,,80.06,-0.86,0,0
2024-10-25,2024-10-25,980355.ZHBK,2,0,50.04,,30.03,-0.45,0,0
2024-10-25,2024-10-25,980362.ZHBK,2,1,50.05,,20.02,-0.4,0,0
2024-10-25,2024-10-25,980365.ZHBK,2,1,120.05,,29.98,-0.38,0,0
2024-10-25,2024-10-25,980474.ZHBK,2,1,70.02,,9.99,-1.86,0,0
2024-10-25,2024-10-25,980364.ZHBK,2,1,40.01,,-30.03,-0.36,0,0
2024-10-25,2024-10-25,980376.ZHBK,2,0,40.03,,20.01,0.22,0,0
2024-10-25,2024-10-25,980372.ZHBK,2,1,40.01,,0.0,-0.18,0,0
2024-10-25,2024-10-25,980373.ZHBK,2,1,40.03,,10.0,0.31,0,0
2024-10-25,2024-10-25,980476.ZHBK,2,1,30.03,,20.02,-0.56,0,0
2024-10-25,2024-10-25,980374.ZHBK,2,0,30.02,,10.0,-0.09,0,0
2024-10-25,2024-10-25,980345.ZHBK,2,0,30.02,,10.0,0.16,0,0
2024-10-25,2024-10-25,980339.ZHBK,2,1,20.01,,-10.01,-0.51,0,0
2024-10-25,2024-10-25,980477.ZHBK,2,1,20.01,,10.0,0.21,0,0
2024-10-25,2024-10-25,980360.ZHBK,2,1,20.01,,-0.01,0.32,0,0
2024-10-25,2024-10-25,980378.ZHBK,2,1,20.01,,-30.02,0.28,0,0
2024-10-25,2024-10-25,980750.ZHBK,2,1,10.01,,0.0,-0.19,0,0
2024-10-25,2024-10-25,980363.ZHBK,2,1,10.0,,10.0,-2.48,0,0
2024-10-25,2024-10-25,980756.ZHBK,2,1,10.01,,0.0,-0.39,0,0
2024-10-25,2024-10-25,980346.ZHBK,2,1,10.01,,0.0,-0.44,0,0
2024-10-25,2024-10-25,980352.ZHBK,2,1,10.0,,0.0,2.04,0,0
2024-10-25,2024-10-25,980335.ZHBK,2,1,10.01,,0.0,-0.47,0,0
2024-10-25,2024-10-25,980341.ZHBK,2,1,10.01,,-10.01,0.02,0,0
2024-10-25,2024-10-25,980371.ZHBK,2,1,10.01,,10.01,-0.06,0,0
2024-10-25,2024-10-25,980348.ZHBK,2,0,10.0,,0.0,-0.06,0,0
2024-10-25,2024-10-25,980336.ZHBK,2,1,10.01,,-20.01,-0.25,0,0
2024-10-25,2024-10-25,980473.ZHBK,2,1,10.0,,-20.02,-0.59,0,0
2024-10-24,2024-10-24,980366.ZHBK,2,0,60.04,,30.02,-0.13,0,0
2024-10-24,2024-10-24,980474.ZHBK,2,1,60.03,,10.0,1.85,0,0
2024-10-24,2024-10-24,980365.ZHBK,2,1,90.07,,30.02,0.34,0,0
2024-10-24,2024-10-24,980364.ZHBK,2,1,70.04,,50.02,0.89,0,0
2024-10-24,2024-10-24,980753.ZHBK,2,0,50.03,,-10.01,-0.39,0,0
2024-10-24,2024-10-24,980357.ZHBK,2,0,50.04,,-30.01,-0.62,0,0
2024-10-24,2024-10-24,980378.ZHBK,2,1,50.03,,30.01,-0.25,0,0
2024-10-24,2024-10-24,980338.ZHBK,2,1,40.04,,-10.0,1.18,0,0
2024-10-24,2024-10-24,980372.ZHBK,2,1,40.01,,40.01,0.92,0,0
2024-10-24,2024-10-24,980339.ZHBK,2,1,30.02,,10.0,0.44,0,0
