categoryCode,blockCode,parent,dataType,industryType,tradeDate,categoryType,num,directionNum,numChange,prePctChangeRate,isTrack,isPpp
000033.BKDL,,,,,2024-10-25,1.0,360.13,,159.99,-0.52,0,0
,885941.DDBK,000033.BKDL,0,0,2024-10-25,,130.07,,39.98,-0.22,0,0
,885929.DDBK,000033.BKDL,0,0,2024-10-25,,130.02,,80.0,-0.53,0,0
,885517.DDBK,000033.BKDL,0,0,2024-10-25,,110.05,,19.98,-0.6,0,0
,885619.DDBK,000033.BKDL,0,0,2024-10-25,,80.03,,60.01,-0.48,0,0
,885427.DDBK,000033.BKDL,0,0,2024-10-25,,70.03,,19.98,-0.76,0,0
,886057.DDBK,000033.BKDL,0,0,2024-10-25,,60.03,,9.98,-0.23,0,0
,886002.DDBK,000033.BKDL,0,0,2024-10-25,,60.02,,50.01,-0.47,0,0
,885946.DDBK,000033.BKDL,0,0,2024-10-25,,40.02,,20.01,-0.21,0,0
,885786.DDBK,000033.BKDL,0,0,2024-10-25,,40.01,,30.0,-0.06,0,0
,885930.DDBK,000033.BKDL,0,0,2024-10-25,,30.02,,-10.02,-0.38,0,0
,886008.DDBK,000033.BKDL,0,0,2024-10-25,,10.01,,-20.0,-0.47,0,0
,886069.DDBK,000033.BKDL,0,0,2024-10-25,,10.0,,10.0,-1.11,0,0
,885537.DDBK,000033.BKDL,0,0,2024-10-25,,10.0,,10.0,-0.35,0,0
000027.BKDL,,,,,2024-10-25,1.0,360.12,,180.04,-0.69,0,0
,885431.DDBK,000027.BKDL,0,0,2024-10-25,,160.07,,50.03,-0.56,0,0
,885997.DDBK,000027.BKDL,0,0,2024-10-25,,110.03,,50.0,-0.63,0,0
,885564.DDBK,000027.BKDL,0,0,2024-10-25,,70.03,,60.03,-1.31,0,0
,885467.DDBK,000027.BKDL,0,0,2024-10-25,,60.01,,-10.01,-0.6,0,0
,885736.DDBK,000027.BKDL,0,0,2024-10-25,,50.02,,30.02,-1.02,0,0
,885545.DDBK,000027.BKDL,0,0,2024-10-25,,50.02,,30.01,-0.45,0,0
,885662.DDBK,000027.BKDL,0,0,2024-10-25,,50.02,,10.02,-1.0,0,0
,885766.DDBK,000027.BKDL,0,0,2024-10-25,,50.01,,40.01,-0.75,0,0
,886067.DDBK,000027.BKDL,0,0,2024-10-25,,50.01,,29.99,-0.85,0,0
,885775.DDBK,000027.BKDL,0,0,2024-10-25,,40.03,,20.02,-0.85,0,0
,885461.DDBK,000027.BKDL,0,0,2024-10-25,,40.01,,9.99,-0.68,0,0
,885945.DDBK,000027.BKDL,0,0,2024-10-25,,30.03,,30.03,0.48,0,0
,886000.DDBK,000027.BKDL,0,0,2024-10-25,,20.01,,10.01,-0.04,0,0
,886035.DDBK,000027.BKDL,0,0,2024-10-25,,20.01,,20.01,-0.94,0,0
,886061.DDBK,000027.BKDL,0,0,2024-10-25,,20.01,,10.01,-0.82,0,0
,886064.DDBK,000027.BKDL,0,0,2024-10-25,,10.01,,10.01,-0.54,0,0
,885861.DDBK,000027.BKDL,0,0,2024-10-25,,10.01,,0.01,-0.65,0,0
,886001.DDBK,000027.BKDL,0,0,2024-10-25,,10.01,,-10.0,-0.77,0,0
,885834.DDBK,000027.BKDL,0,0,2024-10-25,,10.01,,-20.0,-0.38,0,0
,885974.DDBK,000027.BKDL,0,0,2024-10-25,,10.0,,10.0,0.58,0,0
,885886.DDBK,000027.BKDL,0,0,2024-10-25,,10.0,,0.0,-0.89,0,0
,885999.DDBK,000027.BKDL,0,0,2024-10-25,,10.0,,-30.02,-0.17,0,0
,886066.DDBK,000027.BKDL,0,0,2024-10-25,,10.0,,10.0,-0.89,0,0
000006.BKDL,,,,,2024-10-25,1.0,350.18,,240.11,-0.58,0,0
,885806.DDBK,000006.BKDL,0,0,2024-10-25,,310.16,,220.1,-0.6,0,1
,885980.DDBK,000006.BKDL,0,0,2024-10-25,,70.05,,70.05,-0.78,0,0
,885923.DDBK,000006.BKDL,0,0,2024-10-25,,30.01,,20.0,-1.21,0,0
,886059.DDBK,000006.BKDL,0,0,2024-10-25,,30.0,,30.0,-0.97,0,0
,885376.DDBK,000006.BKDL,0,0,2024-10-25,,30.0,,19.99,-0.49,0,0
,886058.DDBK,000006.BKDL,0,0,2024-10-25,,10.01,,10.01,1.18,0,0
,885502.DDBK,000006.BKDL,0,0,2024-10-25,,10.01,,0.01,-0.48,0,0
,885843.DDBK,000006.BKDL,0,0,2024-10-25,,10.0,,10.0,-0.21,0,0
000031.BKDL,,,,,2024-10-25,1.0,340.18,,210.09,-0.15,0,0
,885756.DDBK,000031.BKDL,0,0,2024-10-25,,130.1,,60.04,0.14,0,0
,885362.DDBK,000031.BKDL,0,0,2024-10-25,,120.08,,80.05,-0.44,0,0
,885957.DDBK,000031.BKDL,0,0,2024-10-25,,70.05,,50.03,0.21,0,0
,886009.DDBK,000031.BKDL,0,0,2024-10-25,,60.04,,40.02,0.78,0,0
,886050.DDBK,000031.BKDL,0,0,2024-10-25,,40.03,,20.01,0.37,0,0
,885790.DDBK,000031.BKDL,0,0,2024-10-25,,40.02,,20.01,-0.47,0,0
,885977.DDBK,000031.BKDL,0,0,2024-10-25,,30.0,,20.0,-0.35,0,0
