date,blockCode,score,scoreChangePre,scoreChange,dataType,industryType,isTrack,isPpp
2024-10-25,980368.ZHBK,624.67,512.55,0.0,2,1,0,0
2024-10-25,980343.ZHBK,611.58,484.42,0.0,2,0,0,0
2024-10-25,980348.ZHBK,595.84,510.72,0.0,2,0,0,0
2024-10-25,980474.ZHBK,591.14,495.33,1.81,2,1,0,0
2024-10-25,980476.ZHBK,563.92,446.88,10.64,2,1,0,0
2024-10-25,980355.ZHBK,555.82,426.13,3.7,2,0,0,0
2024-10-25,980364.ZHBK,554.76,412.23,6.99,2,1,0,0
2024-10-25,980338.ZHBK,549.0,376.24,-3.84,2,1,0,0
2024-10-25,980358.ZHBK,542.64,297.92,21.28,2,1,0,0
2024-10-25,980346.ZHBK,529.64,413.78,0.0,2,1,0,0
2024-10-25,980756.ZHBK,528.81,409.64,7.45,2,1,0,0
2024-10-25,980373.ZHBK,528.81,331.44,-3.72,2,1,0,0
2024-10-25,980365.ZHBK,525.81,391.14,3.51,2,1,0,0
2024-10-25,980353.ZHBK,510.72,329.84,31.92,2,0,0,0
2024-10-25,980352.ZHBK,507.82,135.42,16.93,2,1,0,0
2024-10-25,980345.ZHBK,495.36,291.59,3.51,2,0,0,0
2024-10-25,980374.ZHBK,492.71,303.65,5.73,2,0,0,0
2024-10-25,980475.ZHBK,486.98,343.75,14.32,2,1,0,0
2024-10-25,980378.ZHBK,464.76,280.05,0.0,2,1,0,0
2024-10-25,980371.ZHBK,463.15,325.46,12.51,2,1,0,0
2024-10-25,980372.ZHBK,462.03,282.77,15.15,2,1,0,0
2024-10-25,980357.ZHBK,455.23,268.68,9.74,2,0,0,0
2024-10-25,980477.ZHBK,451.39,203.12,0.0,2,1,0,0
2024-10-25,980362.ZHBK,451.3,325.06,12.63,2,1,0,0
2024-10-25,980473.ZHBK,436.61,291.07,34.25,2,1,0,0
2024-10-25,980340.ZHBK,434.47,62.07,0.0,2,0,0,0
2024-10-25,980753.ZHBK,414.94,263.9,0.0,2,0,0,0
2024-10-25,980351.ZHBK,406.25,270.83,135.41,2,1,0,0
2024-10-25,980336.ZHBK,392.0,278.76,17.42,2,1,0,0
2024-10-25,980750.ZHBK,389.07,272.35,11.11,2,1,0,0
2024-10-25,980376.ZHBK,379.9,154.96,-10.0,2,0,0,0
2024-10-25,980366.ZHBK,366.46,211.95,-7.92,2,0,0,0
2024-10-25,980339.ZHBK,348.29,289.35,21.44,2,1,0,0
2024-10-25,980360.ZHBK,331.02,180.56,7.52,2,1,0,0
2024-10-25,980363.ZHBK,302.89,278.06,-19.86,2,1,0,0
2024-10-25,980335.ZHBK,253.91,186.2,0.0,2,1,0,0
