date,blockCode,score,scoreChangePre,scoreChange,dataType,industryType,isTrack,isPpp
2024-10-25,980340.ZHBK,248.27,-124.13,62.07,2,0,0,0
2024-10-25,980352.ZHBK,220.05,-152.35,-16.93,2,1,0,0
2024-10-25,980357.ZHBK,176.8,-9.75,-33.41,2,0,0,0
2024-10-25,980372.ZHBK,164.11,-15.15,-12.62,2,1,0,0
2024-10-25,980376.ZHBK,144.96,-79.98,-49.99,2,0,0,0
2024-10-25,980338.ZHBK,134.37,-38.39,-0.0,2,1,0,0
2024-10-25,980753.ZHBK,128.47,-22.57,-20.84,2,0,0,0
2024-10-25,980358.ZHBK,127.68,-117.04,31.92,2,1,0,0
2024-10-25,980474.ZHBK,126.54,30.73,-18.08,2,1,0,0
2024-10-25,980366.ZHBK,122.81,-31.7,-23.77,2,0,0,0
2024-10-25,980363.ZHBK,109.24,84.41,14.9,2,1,0,0
2024-10-25,980343.ZHBK,109.0,-18.16,-24.22,2,0,0,0
2024-10-25,980345.ZHBK,101.88,-101.89,-3.52,2,0,0,0
2024-10-25,980365.ZHBK,101.88,-32.79,-3.52,2,1,0,0
2024-10-25,980473.ZHBK,94.17,-51.37,-0.0,2,1,0,0
2024-10-25,980477.ZHBK,90.28,-157.99,-45.14,2,1,0,0
2024-10-25,980368.ZHBK,88.09,-24.03,40.04,2,1,0,0
2024-10-25,980374.ZHBK,85.94,-103.12,-5.73,2,0,0,0
2024-10-25,980353.ZHBK,85.12,-95.76,-42.56,2,0,0,0
2024-10-25,980373.ZHBK,81.93,-115.44,-40.96,2,1,0,0
2024-10-25,980355.ZHBK,77.81,-51.88,3.7,2,0,0,0
2024-10-25,980360.ZHBK,75.23,-75.23,-0.0,2,1,0,0
2024-10-25,980476.ZHBK,74.48,-42.56,-26.6,2,1,0,0
2024-10-25,980364.ZHBK,74.06,-68.47,-22.36,2,1,0,0
2024-10-25,980475.ZHBK,71.62,-71.61,28.65,2,1,0,0
2024-10-25,980756.ZHBK,67.03,-52.14,-7.45,2,1,0,0
2024-10-25,980346.ZHBK,66.2,-49.66,-8.28,2,1,0,0
2024-10-25,980378.ZHBK,58.09,-126.62,-25.33,2,1,0,0
2024-10-25,980339.ZHBK,53.58,-5.36,-42.87,2,1,0,0
2024-10-25,980341.ZHBK,50.78,-39.5,5.64,2,1,0,0
2024-10-25,980362.ZHBK,44.18,-82.06,-22.09,2,1,0,0
2024-10-25,980336.ZHBK,39.2,-74.04,-17.42,2,1,0,0
2024-10-25,980750.ZHBK,38.91,-77.81,-16.67,2,1,0,0
2024-10-25,980371.ZHBK,37.55,-100.14,-12.52,2,1,0,0
2024-10-25,980348.ZHBK,31.92,-53.2,-10.64,2,0,0,0
2024-10-25,980335.ZHBK,25.39,-42.32,-0.0,2,1,0,0
2024-10-25,980379.ZHBK,0.0,-17.73,0.0,2,1,0,0
2024-10-25,980351.ZHBK,0.0,-135.42,-67.71,2,1,0,0
2024-10-24,980372.ZHBK,83.32,-207.03,-47.97,2,1,0,0
2024-10-24,980376.ZHBK,79.98,-189.95,-24.99,2,0,0,0
2024-10-24,980374.ZHBK,68.75,-143.23,-5.73,2,0,0,0
2024-10-24,980340.ZHBK,62.07,0.0,-62.06,2,0,0,0
2024-10-24,980475.ZHBK,57.29,-243.49,-42.97,2,1,0,0
2024-10-24,980345.ZHBK,56.21,-119.45,-3.51,2,0,0,0
2024-10-24,980473.ZHBK,51.37,-42.8,-34.24,2,1,0,0
2024-10-24,980378.ZHBK,49.16,-83.41,-14.89,2,1,0,0
2024-10-24,980366.ZHBK,45.56,-150.54,-29.71,2,0,0,0
2024-10-24,980477.ZHBK,45.14,-67.71,0.0,2,1,0,0
2024-10-24,980363.ZHBK,44.69,-456.81,-64.55,2,1,0,0
2024-10-24,980353.ZHBK,42.56,-148.96,-42.56,2,0,0,0
2024-10-24,980343.ZHBK,42.39,-169.54,-54.49,2,0,0,0
2024-10-24,980364.ZHBK,41.92,-234.76,-26.55,2,1,0,0
2024-10-24,980368.ZHBK,40.04,-240.26,-32.04,2,1,0,0
2024-10-24,980753.ZHBK,38.19,-138.9,-19.1,2,0,0,0
2024-10-24,980474.ZHBK,37.96,-329.02,-48.81,2,1,0,0
2024-10-24,980360.ZHBK,37.62,-82.75,0.0,2,1,0,0
2024-10-24,980358.ZHBK,37.24,-175.56,-10.64,2,1,0,0
2024-10-24,980365.ZHBK,35.13,-168.64,-30.45,2,1,0,0
2024-10-24,980338.ZHBK,34.55,-234.19,-30.72,2,1,0,0
2024-10-24,980335.ZHBK,33.85,-169.28,-0.0,2,1,0,0
2024-10-24,980373.ZHBK,29.79,-156.41,-22.35,2,1,0,0
2024-10-24,980357.ZHBK,27.84,-100.24,-26.45,2,0,0,0
2024-10-24,980339.ZHBK,26.79,-208.97,-10.72,2,1,0,0
2024-10-24,980371.ZHBK,25.04,-100.14,-6.25,2,1,0,0
2024-10-24,980346.ZHBK,24.83,-157.23,8.28,2,1,0,0
2024-10-24,980756.ZHBK,22.34,-148.96,7.44,2,1,0,0
2024-10-24,980336.ZHBK,21.78,-204.71,-17.42,2,1,0,0
2024-10-24,980476.ZHBK,21.28,-191.52,-10.64,2,1,0,0
2024-10-24,980362.ZHBK,18.94,-246.16,-18.93,2,1,0,0
2024-10-24,980352.ZHBK,16.93,-287.76,-84.63,2,1,0,0
2024-10-24,980341.ZHBK,16.93,-67.71,0.0,2,1,0,0
2024-10-24,980750.ZHBK,11.12,-250.12,-16.67,2,1,0,0
2024-10-24,980355.ZHBK,7.41,-62.99,-11.12,2,0,0,0
2024-10-24,980379.ZHBK,0.0,-53.2,0.0,2,1,0,0
2024-10-24,980351.ZHBK,0.0,-67.71,0.0,2,1,0,0
2024-10-24,980348.ZHBK,0.0,-21.28,-21.28,2,0,0,0
2024-10-23,980352.ZHBK,169.27,-236.98,-0.0,2,1,0,0
2024-10-23,980335.ZHBK,135.42,-177.73,25.39,2,1,0,0
2024-10-23,980353.ZHBK,127.68,-319.2,0.0,2,0,0,0
2024-10-23,980374.ZHBK,103.13,-360.94,-22.91,2,0,0,0
2024-10-23,980371.ZHBK,87.62,-538.26,-25.04,2,1,0,0
2024-10-23,980474.ZHBK,86.77,-410.37,-54.24,2,1,0,0
2024-10-23,980475.ZHBK,85.94,-429.69,-14.32,2,1,0,0
2024-10-23,980355.ZHBK,77.81,-392.79,-66.7,2,0,0,0
2024-10-23,980345.ZHBK,70.26,-389.97,-24.6,2,0,0,0
2024-10-23,980477.ZHBK,67.71,-496.53,-45.14,2,1,0,0
2024-10-23,980365.ZHBK,66.75,-311.51,-49.19,2,1,0,0
2024-10-23,980338.ZHBK,65.27,-264.9,-53.74,2,1,0,0
2024-10-23,980368.ZHBK,64.07,-400.43,-8.01,2,1,0,0
2024-10-23,980340.ZHBK,62.07,-310.33,0.0,2,0,0,0
2024-10-23,980360.ZHBK,60.19,-90.27,-7.52,2,1,0,0
2024-10-23,980372.ZHBK,58.07,-426.68,-53.02,2,1,0,0
2024-10-23,980753.ZHBK,52.08,-100.7,-43.41,2,0,0,0
2024-10-23,980376.ZHBK,49.99,-109.97,-34.99,2,0,0,0
2024-10-23,980358.ZHBK,47.88,-324.52,-15.96,2,1,0,0
2024-10-23,980362.ZHBK,47.34,-460.77,-53.65,2,1,0,0
2024-10-23,980373.ZHBK,44.69,-446.88,-67.03,2,1,0,0
2024-10-23,980366.ZHBK,43.58,-63.39,-41.6,2,0,0,0
2024-10-23,980339.ZHBK,42.87,-391.15,-26.79,2,1,0,0
2024-10-23,980348.ZHBK,42.56,-553.28,-127.68,2,0,0,0
2024-10-23,980346.ZHBK,41.38,-322.74,-66.2,2,1,0,0
2024-10-23,980476.ZHBK,37.24,-377.72,-85.12,2,1,0,0
2024-10-23,980756.ZHBK,37.24,-297.92,-59.58,2,1,0,0
2024-10-23,980364.ZHBK,36.33,-391.27,-57.29,2,1,0,0
2024-10-23,980357.ZHBK,36.2,-169.84,-38.98,2,0,0,0
2024-10-23,980378.ZHBK,34.26,-436.45,-56.61,2,1,0,0
2024-10-23,980473.ZHBK,34.24,-299.64,-0.0,2,1,0,0
2024-10-23,980750.ZHBK,33.35,-555.82,-27.79,2,1,0,0
2024-10-23,980343.ZHBK,30.28,-296.71,-66.6,2,0,0,0
2024-10-23,980341.ZHBK,28.21,-67.71,-11.29,2,1,0,0
2024-10-23,980336.ZHBK,26.13,-470.4,-17.43,2,1,0,0
2024-10-23,980363.ZHBK,19.86,-99.31,-19.86,2,1,0,0
2024-10-23,980379.ZHBK,0.0,-17.73,0.0,2,1,0,0
2024-10-23,980351.ZHBK,0.0,-270.84,0.0,2,1,0,0
2024-10-22,980340.ZHBK,310.33,-186.2,62.06,2,0,0,0
2024-10-22,980376.ZHBK,179.95,-419.89,-79.98,2,0,0,0
2024-10-22,980363.ZHBK,178.75,-511.43,-79.45,2,1,0,0
2024-10-22,980473.ZHBK,111.29,-445.17,-34.25,2,1,0,0
2024-10-22,980371.ZHBK,106.4,-194.02,-62.59,2,1,0,0
2024-10-22,980357.ZHBK,103.02,-445.49,-47.33,2,0,0,0
2024-10-22,980352.ZHBK,101.56,-152.35,-16.93,2,1,0,0
2024-10-22,980355.ZHBK,81.52,-403.9,-29.64,2,0,0,0
2024-10-22,980753.ZHBK,76.39,-491.32,-59.03,2,0,0,0
2024-10-22,980365.ZHBK,74.95,-367.71,-46.84,2,1,0,0
2024-10-22,980353.ZHBK,74.48,-297.92,-10.64,2,0,0,0
2024-10-22,980368.ZHBK,72.08,-176.19,-8.01,2,1,0,0
2024-10-22,980366.ZHBK,71.31,-493.23,-73.29,2,0,0,0
2024-10-22,980351.ZHBK,67.71,-609.38,0.0,2,1,0,0
