categoryCode,blockCode,parent,date,score,scoreChangePre,scoreChange,dataType,isTrack,isPpp,industryType
000028.BKDL,,,2024-10-25,169.8,-239.26,-11.58,1,1,0,
,885699.DDBK,000028.BKDL,2024-10-25,169.8,-235.4,-11.58,0,1,1,0.0
000014.BKDL,,,2024-10-25,167.46,6.38,-22.33,1,0,0,
,885454.DDBK,000014.BKDL,2024-10-25,206.89,49.65,-24.83,0,0,0,0.0
,885785.DDBK,000014.BKDL,2024-10-25,179.6,21.13,-29.05,0,0,0,0.0
,885771.DDBK,000014.BKDL,2024-10-25,178.1,48.57,-48.58,0,0,0,0.0
,886036.DDBK,000014.BKDL,2024-10-25,165.51,-16.55,-0.0,0,0,0,0.0
,886047.DDBK,000014.BKDL,2024-10-25,135.42,101.57,-67.71,0,0,0,0.0
,885759.DDBK,000014.BKDL,2024-10-25,130.95,-24.56,-16.37,0,0,0,0.0
000031.BKDL,,,2024-10-25,164.95,-7.26,-22.52,1,0,0,
,886042.DDBK,000031.BKDL,2024-10-25,270.84,38.69,-9.67,0,0,0,0.0
,885908.DDBK,000031.BKDL,2024-10-25,223.44,37.24,14.9,0,0,0,0.0
,886033.DDBK,000031.BKDL,2024-10-25,215.6,-29.4,-49.0,0,0,0,0.0
,886009.DDBK,000031.BKDL,2024-10-25,212.8,-14.19,-21.28,0,0,0,0.0
,885925.DDBK,000031.BKDL,2024-10-25,204.45,43.81,-29.21,0,0,0,0.0
,885756.DDBK,000031.BKDL,2024-10-25,194.63,12.26,-13.79,0,0,0,0.0
,885977.DDBK,000031.BKDL,2024-10-25,174.31,-63.39,-79.24,0,0,0,0.0
,886073.DDBK,000031.BKDL,2024-10-25,171.88,-28.64,28.65,0,0,0,0.0
,886050.DDBK,000031.BKDL,2024-10-25,156.41,-81.93,-37.24,0,0,0,0.0
,885362.DDBK,000031.BKDL,2024-10-25,155.03,-13.48,-30.33,0,0,0,0.0
,885957.DDBK,000031.BKDL,2024-10-25,154.25,-61.7,-17.63,0,0,0,0.0
,886044.DDBK,000031.BKDL,2024-10-25,151.29,-46.55,-34.91,0,0,0,0.0
,886054.DDBK,000031.BKDL,2024-10-25,144.15,-24.03,-48.06,0,0,0,0.0
,886048.DDBK,000031.BKDL,2024-10-25,140.53,70.27,-14.05,0,0,0,0.0
,886049.DDBK,000031.BKDL,2024-10-25,129.53,48.57,-32.38,0,0,0,0.0
,885790.DDBK,000031.BKDL,2024-10-25,128.73,-59.77,-36.78,0,0,0,0.0
,885897.DDBK,000031.BKDL,2024-10-25,88.93,-88.93,-22.23,0,0,0,0.0
,885864.DDBK,000031.BKDL,2024-10-25,69.83,-34.91,-46.55,0,0,0,0.0
000029.BKDL,,,2024-10-25,164.09,-13.96,-15.13,1,0,0,
,885953.DDBK,000029.BKDL,2024-10-25,313.6,196.0,78.4,0,0,0,0.0
,885875.DDBK,000029.BKDL,2024-10-25,223.44,93.1,9.31,0,0,0,0.0
,885987.DDBK,000029.BKDL,2024-10-25,221.43,100.65,20.13,0,0,0,0.0
,885774.DDBK,000029.BKDL,2024-10-25,195.07,88.67,-88.66,0,0,0,0.0
,885800.DDBK,000029.BKDL,2024-10-25,187.74,21.54,-9.23,0,0,0,0.0
,885675.DDBK,000029.BKDL,2024-10-25,179.89,-3.15,-3.15,0,0,0,0.0
,885959.DDBK,000029.BKDL,2024-10-25,179.13,56.57,-65.99,0,0,0,0.0
,885809.DDBK,000029.BKDL,2024-10-25,165.51,-51.72,-0.0,0,0,0,0.0
,885738.DDBK,000029.BKDL,2024-10-25,147.78,-53.2,-23.64,0,0,0,0.0
,886020.DDBK,000029.BKDL,2024-10-25,82.76,-144.82,-20.68,0,0,0,0.0
000016.BKDL,,,2024-10-25,146.98,-9.89,-28.41,1,0,0,
,885844.DDBK,000016.BKDL,2024-10-25,164.29,32.85,-21.91,0,0,0,0.0
,885730.DDBK,000016.BKDL,2024-10-25,161.91,-10.8,-21.59,0,0,0,0.0
,885956.DDBK,000016.BKDL,2024-10-25,153.34,-27.38,-32.86,0,0,0,0.0
,885459.DDBK,000016.BKDL,2024-10-25,151.81,-28.46,-28.46,0,0,0,0.0
,886017.DDBK,000016.BKDL,2024-10-25,151.72,55.17,13.79,0,0,0,0.0
,885378.DDBK,000016.BKDL,2024-10-25,145.83,-15.63,-39.07,0,0,0,0.0
,885568.DDBK,000016.BKDL,2024-10-25,119.28,-14.55,-40.74,0,0,0,0.0
,885881.DDBK,000016.BKDL,2024-10-25,106.4,-53.2,-53.2,0,0,0,0.0
,886039.DDBK,000016.BKDL,2024-10-25,93.1,-31.03,-93.1,0,0,0,0.0
000006.BKDL,,,2024-10-25,146.44,3.97,-10.6,1,0,0,
,886058.DDBK,000006.BKDL,2024-10-25,209.48,-46.55,0.0,0,0,0,0.0
,885376.DDBK,000006.BKDL,2024-10-25,197.84,81.46,11.64,0,0,0,0.0
,885806.DDBK,000006.BKDL,2024-10-25,153.54,8.48,-16.97,0,0,1,0.0
,886059.DDBK,000006.BKDL,2024-10-25,152.78,66.84,0.0,0,0,0,0.0
,885923.DDBK,000006.BKDL,2024-10-25,142.14,28.43,22.74,0,0,0,0.0
,885980.DDBK,000006.BKDL,2024-10-25,129.53,0.0,-32.38,0,0,0,0.0
,886055.DDBK,000006.BKDL,2024-10-25,126.77,-31.7,-47.54,0,0,0,0.0
,885843.DDBK,000006.BKDL,2024-10-25,116.38,-46.55,23.28,0,0,0,0.0
,885502.DDBK,000006.BKDL,2024-10-25,85.28,-28.43,-11.37,0,0,0,0.0
,885982.DDBK,000006.BKDL,2024-10-25,69.83,-23.27,-23.27,0,0,0,0.0
000027.BKDL,,,2024-10-25,139.79,3.56,-12.46,1,0,0,
,886000.DDBK,000027.BKDL,2024-10-25,264.82,99.31,0.0,0,0,0,0.0
,885467.DDBK,000027.BKDL,2024-10-25,215.6,71.87,-26.13,0,0,0,0.0
,885902.DDBK,000027.BKDL,2024-10-25,196.0,78.4,0.0,0,0,0,0.0
,885834.DDBK,000027.BKDL,2024-10-25,191.1,24.5,-19.6,0,0,0,0.0
,885871.DDBK,000027.BKDL,2024-10-25,186.2,79.8,26.6,0,0,0,0.0
,886064.DDBK,000027.BKDL,2024-10-25,186.2,-13.3,-0.0,0,0,0,0.0
,885545.DDBK,000027.BKDL,2024-10-25,179.68,31.88,-14.49,0,0,0,0.0
,885997.DDBK,000027.BKDL,2024-10-25,174.78,45.66,-26.77,0,0,0,0.0
,885945.DDBK,000027.BKDL,2024-10-25,174.11,-9.67,-48.36,0,0,0,0.0
,886035.DDBK,000027.BKDL,2024-10-25,172.58,54.5,9.09,0,0,0,0.0
,886061.DDBK,000027.BKDL,2024-10-25,157.63,19.7,-11.82,0,0,0,0.0
,885943.DDBK,000027.BKDL,2024-10-25,156.8,39.2,-39.2,0,0,0,0.0
,885431.DDBK,000027.BKDL,2024-10-25,155.87,10.86,-9.86,0,0,0,0.0
,885662.DDBK,000027.BKDL,2024-10-25,154.48,-5.51,-11.03,0,0,0,0.0
,885736.DDBK,000027.BKDL,2024-10-25,149.66,20.89,-13.92,0,0,0,0.0
,886001.DDBK,000027.BKDL,2024-10-25,139.03,0.0,-59.58,0,0,0,0.0
,885999.DDBK,000027.BKDL,2024-10-25,138.74,-58.41,-36.51,0,0,0,0.0
,885564.DDBK,000027.BKDL,2024-10-25,136.73,25.19,-10.79,0,0,0,0.0
,885775.DDBK,000027.BKDL,2024-10-25,128.83,8.05,-28.18,0,0,0,0.0
,886067.DDBK,000027.BKDL,2024-10-25,117.2,-11.34,-3.78,0,0,0,0.0
,885886.DDBK,000027.BKDL,2024-10-25,112.85,22.57,45.14,0,0,0,0.0
,885461.DDBK,000027.BKDL,2024-10-25,108.73,-5.44,-21.75,0,0,0,0.0
,886066.DDBK,000027.BKDL,2024-10-25,108.62,15.52,-62.06,0,0,0,0.0
,885766.DDBK,000027.BKDL,2024-10-25,102.94,-36.33,-30.28,0,0,0,0.0
,885861.DDBK,000027.BKDL,2024-10-25,88.67,-70.93,-35.46,0,0,0,0.0
,885974.DDBK,000027.BKDL,2024-10-25,64.77,-129.53,0.0,0,0,0,0.0
000025.BKDL,,,2024-10-25,133.79,-5.71,-21.21,1,0,0,
,886043.DDBK,000025.BKDL,2024-10-25,196.0,117.6,117.6,0,0,0,0.0
,885868.DDBK,000025.BKDL,2024-10-25,184.11,58.58,-50.21,0,0,0,0.0
,885556.DDBK,000025.BKDL,2024-10-25,161.31,-17.92,-21.9,0,0,0,0.0
,885998.DDBK,000025.BKDL,2024-10-25,157.99,-22.57,-67.71,0,0,0,0.0
,885940.DDBK,000025.BKDL,2024-10-25,124.13,-53.2,-88.67,0,0,0,0.0
,886037.DDBK,000025.BKDL,2024-10-25,124.13,-77.59,-46.55,0,0,0,0.0
,885574.DDBK,000025.BKDL,2024-10-25,123.24,32.15,-10.72,0,0,0,0.0
,885312.DDBK,000025.BKDL,2024-10-25,118.64,-19.77,-26.37,0,0,0,0.0
,885783.DDBK,000025.BKDL,2024-10-25,113.97,-7.95,-29.16,0,0,0,0.0
000003.BKDL,,,2024-10-25,126.49,-33.29,-20.81,1,0,0,
,885975.DDBK,000003.BKDL,2024-10-25,161.04,40.26,0.0,0,0,0,0.0
,886013.DDBK,000003.BKDL,2024-10-25,149.6,12.74,-25.46,0,0,0,0.0
,885866.DDBK,000003.BKDL,2024-10-25,147.0,39.2,-29.4,0,0,0,0.0
,885887.DDBK,000003.BKDL,2024-10-25,138.77,-59.47,-36.81,0,0,0,0.0
,885452.DDBK,000003.BKDL,2024-10-25,135.63,-20.69,-32.18,0,0,0,0.0
,885333.DDBK,000003.BKDL,2024-10-25,130.84,-20.13,-20.13,0,0,0,0.0
,885942.DDBK,000003.BKDL,2024-10-25,127.49,-13.42,-20.13,0,0,0,0.0
,885976.DDBK,000003.BKDL,2024-10-25,121.13,-38.65,-23.19,0,0,0,0.0
,886041.DDBK,000003.BKDL,2024-10-25,118.56,-12.16,-30.4,0,0,0,0.0
,885757.DDBK,000003.BKDL,2024-10-25,111.26,-43.26,-30.9,0,0,0,0.0
,886023.DDBK,000003.BKDL,2024-10-25,102.73,-102.73,12.84,0,0,0,0.0
,886034.DDBK,000003.BKDL,2024-10-25,99.31,-148.96,-49.65,0,0,0,0.0
,885842.DDBK,000003.BKDL,2024-10-25,85.12,-95.76,-53.2,0,0,0,0.0
,885933.DDBK,000003.BKDL,2024-10-25,77.81,-33.35,-22.24,0,0,0,0.0
,885966.DDBK,000003.BKDL,2024-10-25,76.0,0.0,15.2,0,0,0,0.0
000032.BKDL,,,2024-10-25,120.55,-17.22,-30.13,1,0,0,
,885905.DDBK,000032.BKDL,2024-10-25,130.27,-5.66,-31.15,0,0,1,0.0
,885598.DDBK,000032.BKDL,2024-10-25,120.55,-17.22,-30.13,0,0,1,0.0
,885907.DDBK,000032.BKDL,2024-10-25,116.83,-21.91,-58.42,0,0,0,0.0
,885906.DDBK,000032.BKDL,2024-10-25,72.66,-90.83,-0.0,0,0,1,0.0
000015.BKDL,,,2024-10-25,118.25,-46.73,-15.26,1,1,0,
,885767.DDBK,000015.BKDL,2024-10-25,219.06,43.81,0.0,0,1,0,0.0
,885413.DDBK,000015.BKDL,2024-10-25,168.63,2.34,-7.03,0,1,0,0.0
,885657.DDBK,000015.BKDL,2024-10-25,110.34,0.0,-27.59,0,1,0,0.0
,885456.DDBK,000015.BKDL,2024-10-25,108.62,-56.89,-36.2,0,1,0,0.0
,885749.DDBK,000015.BKDL,2024-10-25,96.55,-55.17,27.59,0,1,0,0.0
,885835.DDBK,000015.BKDL,2024-10-25,84.32,-103.05,-4.68,0,1,0,0.0
,885620.DDBK,000015.BKDL,2024-10-25,82.76,-29.55,-5.91,0,1,0,0.0
,885570.DDBK,000015.BKDL,2024-10-25,78.4,-68.6,-9.8,0,1,0,0.0
,885623.DDBK,000015.BKDL,2024-10-25,35.05,-78.86,-26.29,0,1,0,0.0
,885814.DDBK,000015.BKDL,2024-10-25,0.0,-114.58,0.0,0,1,0,0.0
000004.BKDL,,,2024-10-25,114.27,-47.61,-13.6,1,1,0,
,885521.DDBK,000004.BKDL,2024-10-25,253.62,93.1,-9.63,0,1,0,0.0
,885827.DDBK,000004.BKDL,2024-10-25,142.62,-95.08,31.69,0,1,0,0.0
,885487.DDBK,000004.BKDL,2024-10-25,93.1,-139.65,-0.0,0,1,0,0.0
,885514.DDBK,000004.BKDL,2024-10-25,92.05,-100.43,16.73,0,1,0,0.0
,885734.DDBK,000004.BKDL,2024-10-25,89.38,-148.96,-89.37,0,1,0,0.0
,885744.DDBK,000004.BKDL,2024-10-25,89.22,-27.16,7.76,0,1,0,0.0
,885832.DDBK,000004.BKDL,2024-10-25,88.27,-77.24,5.51,0,1,0,0.0
,885472.DDBK,000004.BKDL,2024-10-25,82.76,-59.11,-59.11,0,1,0,0.0
